organisation,address,name
Indus Motors,BEDOK CTRL,William Lim Siew Wai
Landis+Gyr,SUMANG LANE,Lim Woan Wen
Ansal Properties & Infra...,ANG MO KIO AVE 1,Lim Wooi Tee
RSM Astute Consulting,BEDOK CTRL,Ruby Lim-Yang
Eastman Auto & Power,BISHAN ST 23,Lim Yau
MahaOnline,BOON LAY PL,Mrs Lim-Yeo Siok Peng
Prakash Industries,BT BATOK EAST AVE 3,Lim Yeow Pheng
Nippon Express,CHOA CHU KANG CTRL,Lin Mei Jiao
Khanna Paper Mills,HOUGANG ST 21,Lim Yew Hock
LM Wind Power,JURONG EAST ST 21,Lim Yew Kuan
Kiran Motors,LOR 8 TOA PAYOH,Lim Yong Liang
Franco-Indian Pharmaceut...,MOUNT VERNON RD,Lim Yu-Beng
Sequel Logistics,PASIR RIS ST 21,Yvonne Lim
C.G. Marketing,PENDING RD,Limat Sabtu
Aditya Birla Memorial Ho...,SERANGOON AVE 4,Lin Ah Leck
Venus Industrial Corpora...,SIMEI ST 4,Lin Chao Zong
Government of West Benga...,TAMPINES ST 24,Lin Chen
Hindustan Field Services,YISHUN ST 21,Lin Fang
Innovision,BEDOK CTRL,Lim Hung Chang
Singareni Collieries Com...,BOON LAY PL,Lin Hsin Hsin
Texspin Bearings,JURONG EAST ST 21,Lin Huixiang
Bharat Benz,SUMANG LANE,Lin Huiyi
Feedback Energy Distribu...,TENGAH GDN WALK,JJ Lin
Som Autotech,BEDOK CTRL,Lin Juan
Allianz Worldwide Partne...,BOON LAY PL,Lin Liyun
Capital small Finance ba...,SUMANG LANE,Lin Lusan
Koyo Bearings India,TENGAH GDN WALK,Lin Mingzhou
Nirmal Bang,BEDOK CTRL,Lin Qiong
Mindteck,ANG MO KIO AVE 1,Lin Rongchan
Computer Technologies,BEDOK NTH DR,Lin Ruping
AGC Networks,BISHAN ST 23,Lin Xiang Xiong
Forbes & Company,BT BATOK EAST AVE 3,Lin Zhujun
Makino,HOUGANG ST 21,Ling Cher Eng
Smart Chip,JURONG EAST ST 21,Ling Geok Choon
Thomson Press India,LOR 8 TOA PAYOH,Ling How Doong
Health India Tpa Service...,PASIR RIS ST 21,James Ling
Parsvnath Developers,PENDING RD,Ling Lee Hua
Stelmec,SERANGOON AVE 4,Ling Liong Sik
Inventia Healthcare,SIMEI ST 4,Ruth Ling
Cadsys,SUMANG LANE,Ling Siew May
Tsys Card Tech Services,TAMPINES ST 24,Ling Xiao
Transpek-silox Industry,YISHUN ST 21,Ling Yang Chang
SHV Energy,BEDOK NTH DR,S. V. Lingam
Sakata Inx,MOUNT VERNON RD,Loh Chin Hua
Pyrotech Electronics,SUMANG LANE,Susie Lingham
Stanley Black & Decker,TENGAH GDN AVE,Linn In Hua
Peninsula Land,BEDOK NTH DR,Linying
Megafine Pharma,MOUNT VERNON RD,Angela Liong
Nuberg Engineering,BEDOK NTH DR,Evelyn Lip
Cavisson Systems,ANG MO KIO AVE 1,Liu Bei'an
Micromatic Machine Tools,BEDOK NTH DR,Liu Beijin
Sudhir Power,BISHAN ST 23,Liu Binong
KNR Constructions,BT BATOK EAST AVE 3,David Liu
Meenakshi Polymers,CHOA CHU KANG CTRL,Edison Liu T.
Dev Information Technolo...,JURONG EAST ST 21,Gretchen Liu
UGC Supply Chain Solutio...,LOR 8 TOA PAYOH,Liu Huchen
Jaslok Hospital and Rese...,PASIR RIS ST 21,Jesseca Liu
IndustryBuying.com,PENDING RD,Liu Jilin
Aster Medcity,SERANGOON AVE 4,Liu Jun
EXEDY,SIMEI ST 4,Justin Liu
CDM Smith,TAMPINES ST 24,Liu Kang
Parul University,TENGAH GDN AVE,Ric Liu
Studds Accessories,YISHUN ST 21,Liu Ruijin
Med Manor Organics,COMPASSVALE WALK,Liu Si
Keppel Offshore & Marine,JURONG EAST ST 21,Liu Thai Ker
S.M. Consultants,MOUNT VERNON RD,Liu Xiaoyi
AVRA Laboratories,SUMANG LANE,Liu Yanling
Energy Efficiency Servic...,SERANGOON AVE 4,Liu Zhong
Emirates Flight Catering,COMPASSVALE WALK,Liusu
Desun Hospital & Heart I...,MOUNT VERNON RD,Liyana Dhamirah
O2 Spa,COMPASSVALE WALK,Juliette Yu-Ming Lizeray
Ankur Seeds,COMPASSVALE WALK,Lo Hong Ling
Halonix Technologies,ANG MO KIO AVE 1,Sam Lo
Reliance Jewels,BISHAN ST 23,Clara Lock
Advantage One Tax Consul...,BT BATOK ST 21,Linda Locke
Kinapse,CHOA CHU KANG CTRL,Celia Loe
Dezire Research,JURONG EAST ST 21,Loeum Lorn
Bharti AXA General Insur...,LOR 8 TOA PAYOH,Charles Loewen
Yardi Software India,PASIR RIS ST 21,John Loewenstein
Neyveli Lignite Corporat...,PENDING RD,Abraham Logan
Crest Premedia Solutions,SERANGOON AVE 4,James Richardson Logan
Henkel,SIMEI ST 4,Loh Ah Chee
Dynamatic Technologies,SUMANG LANE,Alfred Loh
Capricorn Logistics,TAMPINES ST 23,Loh Chin Ee
Vyom Labs,TENGAH GDN AVE,Esmond Loh
Adcock Ingram,YISHUN ST 21,Loh Guan Liang
Raheja Developers,COMPASSVALE WALK,Loh Hoong Kwan
Zee Media Corporation,SUMANG LANE,Jacqueline Loh
Ciron Drugs & Pharmaceut...,TENGAH GDN AVE,Jahan Loh
Tata Institute of Social...,COMPASSVALE WALK,Joleen Loh
Highway Industries,MOUNT VERNON RD,Loh Jun Hong
Reliance Defence And Eng...,SUMANG LANE,Loh Kah Seng
Dorf Ketal Chemicals,TENGAH GDN AVE,Loh Kean Yew
Hicare Services,COMPASSVALE WALK,Loh Keng Aun
Citrus Hotels,SUMANG LANE,Loh Khum Yean
Vashi Electricals,COMPASSVALE WALK,Loh Kok Heng
Indchemie Health Special...,COMPASSVALE WALK,Lawrence Loh Kiah Muan
Gruh Finance,ANG MO KIO AVE 1,Loh Lik Peng
Indo Nissin Foods,BISHAN ST 23,Martin Loh
Fleet Management,BT BATOK CTRL,Max Loh
Billabong High Internati...,CHOA CHU KANG CTRL,Loh Meng See
IM Gears,JURONG EAST ST 21,Loh Miaw Gong
Leayan Global,LOR 8 TOA PAYOH,Loh Ngai Seng
Plada Infotech Services,PASIR RIS ST 21,Pauline Loh
Global Consumer Products,PENDING RD,Pauline Dawn Loh
Rajesh Motors,SERANGOON AVE 4,Robert Loh Choo Kiat
Neosym Industry,SIMEI ST 4,Robin Loh
Centre For Sight,TAMPINES ST 23,SherMay Loh
Technocon Services,YISHUN ST 21,Loh Sin Yun
Oakridge International S...,COMPASSVALE WALK,Stanley Loh
JSG Innotech,JURONG EAST ST 21,Loh Wai Kiew
Ritz-Carlton,PETIR RD,Xian Jun Loh
Al Tasnim Enterprises,PASIR RIS ST 21,Aarti Lohia
Asian Heart Institute an...,TENGAH GDN AVE,Adrin Loi
Achievers Spot,COMPASSVALE WALK,Loi Ah Koon
N+A,PASIR RIS ST 21,Roy Loi Fey Huei
Polaris,TENGAH GDN AVE,Lok Kerk Hwang
Bharti Retail,COMPASSVALE WALK,Lok Meng Chue
GAVS Technologies,ANG MO KIO AVE 1,Loke Cheng Kim
Religare,BISHAN ST 23,Loke Hoe Kit
Precision Techserve,BT BATOK CTRL,Loke Hoe Yeong
Fabtech Projects & Engin...,CHOA CHU KANG CTRL,Justin Loke
LearningMate Solutions,JURONG EAST ST 21,Loke Mun Chong
Absotherm Facility Manag...,LOR 8 TOA PAYOH,Loke Mun Leng
Allergan,PASIR RIS ST 21,Loke Wan Tho
Gini & Jony,PENDING RD,Loke Yew
Oxford University Press,SERANGOON AVE 4,Lon bin Mohamed Noor
Sahara India Financial C...,SIMEI ST 4,Long Foo Yee
Sangeetha Mobile,SUMANG LANE,Venerable Long Gen
Timex Group India,TAMPINES ST 23,Jeff Long
eTouch Systems,TENGAH DR,Justin Long
ARSS Infrastructure Proj...,YISHUN ST 21,S. R. Joey Long
Oceaneering Internationa...,ANG MO KIO AVE 1,Simon John Longman
Samarth LifeSciences,BARTLEY WALK,Adelina Loo
Star Engineers India,COMPASSVALE WALK,Loo Choon Yong
Spark Engineering,SUMANG LANE,Loo Eng Teck
Brand Factory,ANG MO KIO AVE 1,Loo Foh Sang
Bangalore International ...,BARTLEY WALK,Loo Shaw Chang
PaySquare Consultancy,COMPASSVALE WALK,Loo Zihan
Biostadt,SUMANG LANE,Kedsuda Loogthong
Rain Cements,ANG MO KIO AVE 1,Look Boon Gee
India Power Corporation,COMPASSVALE WALK,Look Yan Kit
KPR Mill,SUMANG LANE,Harbhajan Singh Loomba
Sims Hospital,ANG MO KIO AVE 1,Robin Loon Seong Yun
Cholayil,COMPASSVALE WALK,Danny Loong
Sun Vacuum Formers,SUMANG LANE,Loong Sow Ying
Synophic Systems,ANG MO KIO AVE 1,Vernetta Lopez
Pacific Cyber Technology,ANG MO KIO AVE 1,Lou Mee Wah
Ang India,ANG MO KIO AVE 1,Wendy Louis
AL-SUWAIDI INDUSTRIAL SE...,ANG MO KIO ST 22,AJ Low
SEDER GROUP,ANG MO KIO ST 23,Bjorn Low
Gangar Eyenation,BARTLEY WALK,Low Cheaw Hwei
NSL Sugars,BISHAN ST 23,Cheryl-Ann Low
Nippon Koei India,BT BATOK CTRL,Low Don Chee Mun
Nesma Trading,CHOA CHU KANG CTRL,Eric Low
SPIE Oil & Gas Services,JURONG EAST ST 21,Eric Low Siak Meng
Walsons Facility Solutio...,LOR 8 TOA PAYOH,Evan Low
Choice Solutions (India),PASIR RIS ST 21,Felicia Low
Indu Projects,PENDING RD,Low Guan Onn
Saipem India Projects,SERANGOON AVE 4,Low Guat Tin
OPERATIONAL ENERGY GROUP...,SIMEI ST 4,Low Hai Hong
GE Oil & Gas,TAMPINES ST 23,Low Ing Sing
Vodafone Spacetel,YISHUN ST 21,J. H. Low
Iris Software,ANG MO KIO ST 23,Low Jarn May
Autoline Industries,BARTLEY WALK,Jeffrey Low
Kitex Garments,COMPASSVALE DR,Felicia Low-Jimenez
Eros Group,CHOA CHU KANG CTRL,Low Kay Hwa
Unilog Content Solutions...,LOR 8 TOA PAYOH,Low Kee Yang
Interarch Building Produ...,SUMANG LANE,Low Kim Pong
ecare India,BARTLEY WALK,Low Kway Song
Roulunds Braking,COMPASSVALE DR,Low Lai Chow
Rittal,SUMANG LANE,Leslie Low
John Energy,BARTLEY WALK,Low Lip Ping
Ayoki Fabricon,COMPASSVALE DR,Low Mei Yoke
Symphony,COMPASSVALE DR,Molby Low
Convergent Communication...,ANG MO KIO ST 23,Penny Low
Agarwal Packers & Movers,BISHAN ST 23,Peter Cuthbert Low
PARAGON POLYMER PRODUCTS,BT BATOK CTRL,Peter Low Hwee Min
Vijay Tanks & Vessels,CHOA CHU KANG CTRL,Peter Low Por Tuck
Confidence Petroleum Ind...,JURONG EAST ST 21,Low Pooi Fong
Newgen Knowledge Works,LOR 8 TOA PAYOH,Low Puay Hua
Ace Designers,PASIR RIS ST 21,Richard Low
Special Technical Servic...,PENDING RD,Rixou Low
STYLAM Industries,PUNGGOL FIELD,Royston Low Hee Tang
Amps Electrical Facility...,SERANGOON AVE 4,Low Sanmay
Star Agriwarehousing and...,SIMEI ST 4,Low Seow Chay
ANEWA Engineering,TAMPINES ST 23,Low Shao Suan
EASi,TENGAH DR,Low Shao Ying
Webtel Electrosoft,YISHUN ST 21,Low Shi Ping
St Regis,ANG MO KIO ST 23,Mrs Low Siew Nghee
Doosan Heavy Industries ...,COMPASSVALE WALK,Steven Low Thia Kwang
Moon Beverages,LOR 8 TOA PAYOH,Low Sum
COSMO Infrasolutions,PUNGGOL FIELD,Sunny Low
SGT University,TENGAH DR,Low Swee Chen
HealthSpring,ANG MO KIO ST 23,Low Sze Wee
Npcc,COMPASSVALE WALK,Low Teck Cheng
Coslight India Telecom,PUNGGOL FIELD,Lu Huiyi
Unicorn Infosolutions,TENGAH DR,Low Teck Seng
Milk Mantra Dairy,COMPASSVALE WALK,Low Teo Ping
Namaste India Foods,COMPASSVALE WALK,Low Thia Khiang
Dar Al Riyadh Consultant...,ANG MO KIO AVE 3,Low Tho Seng
North East Small Finance...,BISHAN ST 23,Willin Low
Hamleys,BT BATOK EAST AVE 3,Low Yen Ling
Institute of Language Ma...,CHOA CHU KANG CTRL,Low Ying Ping
Qd-sbg Construction,COMPASSVALE WALK,Low Yuh Shoei
MTS,HOUGANG ST 21,Geraldene Lowe-Ismail
Exilant Technologies,JURONG EAST ST 21,Loy Chye Chuan
QA InfoTech,LOR 8 TOA PAYOH,Ian Loy
Indian Institute of Mana...,PASIR RIS ST 21,Dr Loy Keng Foo
TIBCO Software,PENDING RD,Loy Teck Juan
Bitwise Solutions,SERANGOON AVE 4,Tiffany Loy
The Saraswat Co-operativ...,SIMEI ST 4,Linli Beth Loyola
Xento Systems,TAMPINES ST 23,Lu Baiye
Furnace Fabrica India,YISHUN ST 21,Earl Lu
Groupm Media,SUMANG LANE,Lu Guo Xiang
Cgi Info Systems,TENGAH DR,Lu Kuo Shiang
ITW India,SUMANG LANE,Lu Siliang
Ad2Pro Media Solutions,TENGAH DR,Lu Suitin
Ortel Communications,BALAM RD,Lü Zhenduan
NHPC,BEDOK STH AVE 1,Kongphat Luangrath
HEG,BENDEMEER RD,Lubna Alsagoff
Suresh Surana & Associat...,CHAI CHEE RD,Heinrich Ludwig Emil Luering
Madura Fashion & Lifesty...,DOVER CRES,Amy Lugg
Hyva,EUNOS CRES,Lui Boon Poh
PIX Transmissions,GHIM MOH LINK,Elena Lui Hah Wah
Imarque Solutions,HAIG RD,Lui Hock Seng
JM Financial,HOUGANG AVE 3,Prof Lui Pao Chuen
ESDS Software Solutions,JLN MEMBINA,Lui Tuck Yew
DLF Brands,LIM LIAK ST,Lum May Yee
Ultra Engineers,MARSILING DR,Olivia Lum
Chambor,SIN MING RD,Shawn Lum
Myoung Shin India Automo...,ST. GEORGE'S RD,Luo Futeng
Autocomp Corporation Pan...,TEBAN GDNS RD,Yap Koon Chan @ Luo Ming
Ratnamani Metals and Tub...,TELOK BLANGAH CRES,Lut Ali
Hays Business Solutions,TOA PAYOH EAST,Carlo Ly
WaterHealth Internationa...,CHAI CHEE RD,Ly Singko
Viraj Projects,GHIM MOH LINK,Caleb Lye
St. Mary's School,QUEEN'S CL,G. T. Lye
Arun Excello,SIN MING RD,"Lye, Joyce"
Dataflow Group,TELOK BLANGAH CRES,Joyce Lye Geok Choo
Nexval Infotech,QUEEN'S CL,Lye Kin Mun (Prof.)
PureSoftware,ANG MO KIO AVE 3,Lye Soo Choon
RNF Technologies,BISHAN ST 23,Kenneth Lyen
TAJSATS AIR CATERING,BT BATOK EAST AVE 3,Judah Lyne
Kovai Medical Center and...,CHOA CHU KANG CTRL,Lee Lynn
Rashtriya Chemicals and ...,COMPASSVALE WALK,William Lyou
Lohia Auto Industries,HOUGANG AVE 1,M. Balakrishnan
T.R. Sawhney Motors,JURONG EAST ST 21,M. Fadlin M. Saffri
Karam Industries,LOR 8 TOA PAYOH,M. Karthigesu
Della Adventure Resort,PASIR RIS ST 21,Venerable M.M. Mahaweera Mahanayaka Thera
Rahman Industries,PENDING RD,M. Nasir
Dixcy Textiles,SERANGOON AVE 4,M. P. P. Yei Myint
Sendan International Co,SIMEI ST 4,M. Raihan Halim
Organic India,TAMPINES ST 24,M. Ramlee
Akorn,YISHUN ST 21,M. Saffri A. Manaf
Kommineni Infotech,BT BATOK ST 21,M. T. Hla
Piramal Swasthya,TAMPINES ST 21,M. Zaki Razak
Spark Minda,TENGAH DR,Ma Jun
Nalco Water An Ecolab,TAMPINES ST 24,Ma Yue
Maharashtra state Electr...,TENGAH DR,Maarof Salleh
GETIT Infoservices,TAMPINES ST 24,Sir Malcolm MacDonald
Bahwan CyberTek,TAMPINES ST 24,A. Mackay
RS Software,TAMPINES ST 24,Angus M. MacKintosh
HP Enterprise Services,TAMPINES ST 24,J. W. B. Maclaren
Capco Technologies,TAMPINES ST 21,Ronald MacPherson
IMS People,TAMPINES ST 21,James MacRitchie
Sabre,TAMPINES ST 21,Mad Anuar Ismail
Chhatrapati Shivaji Inte...,ANG MO KIO AVE 3,I Made Djir
Aker Powergas,BAIN ST,I Made Soekarja
Ciena,BISHAN ST 23,I Made Sujendra
Rasandik Engineering Ind...,BT BATOK EAST AVE 5,Made Sukada
Hidesign,CHOA CHU KANG CTRL,I Made Sumadiyasa
Hindustan Media Ventures,COMPASSVALE WALK,I Made Surita
R.K.M Powergen,HOUGANG ST 21,Madhavi Krishnan
Kantar Operations,JURONG EAST ST 21,Maximilian Maeder
Delta Power Solutions,LOR 8 TOA PAYOH,Richard Magnus
Jaguar Land Rover,PASIR RIS DR 4,Mah Bow Tan
Rochem Separation System...,PENDING RD,Mah Li Lian
Expert Global Solutions,SERANGOON AVE 3,Princess Maha Chakri Sirindhorn
Kalindee Rail Nirman (E),SIMEI ST 4,Mahani Mohamed
Oil India,SUMANG LANE,Bhai Maharaj Singh
Techwave Consulting,TAMPINES ST 21,Mazuin Hamzah
Toyota Kirloskar Auto Pa...,TENGAH DR,Mahathir Mohamad
Baxter Healthcare (Suzho...,YISHUN ST 21,Kishore Mahbubani
Creative Synergies Group,BISHAN ST 23,Mahesh Kumar
Uneecops Technologies,PASIR RIS DR 4,Ryan Joshua Mahindapala
Health & Glow,SUMANG LANE,Arun Mahizhnan
Daebu Automotive Seat,TENGAH DR,Haji Mahmood bin Abdul Rahim
Mediterranean Shipping C...,SUMANG LANE,Mahmood Yusof
Gawar Construction,TENGAH DR,Mahmud bin Ahmad
Benteler Automotive,ANG MO KIO AVE 3,Mahmud Awang
Swastika Investmart,BAIN ST,Mahmud June
Radiant Export,BISHAN ST 22,Sultan Mahmud
Bengal Beverages,BT BATOK EAST AVE 5,Mai Trung Thu
Elsamex Maintenance Serv...,CHOA CHU KANG CTRL,Mai Van Hien
Arihant Publications,COMPASSVALE WALK,Mai Van Nam
Indian School Finance Co...,HOUGANG AVE 1,Maimoon Mohd Abu Bakar
Yakult Danone India,JURONG EAST ST 21,Maizurah Hamzah
Danone,LOR 8 TOA PAYOH,Majid Ariff
Eicher Polaris,PASIR RIS DR 4,M. A. Majid
R L Fine Chem,PENDING RD,Christine Mak Lai Peng
Schott Kaisha,SERANGOON AVE 3,Kenneth Mak
Modern Automotives,SIMEI ST 4,Mak Kum-Siew
Swaraj Engines,SUMANG LANE,Mak Pak Shee
Toyotetsu india auto par...,TAMPINES ST 21,Makbul Mubarak
Sv Edusports,YISHUN ST 21,Walter Makepeace
Yara Fertilisers,SERANGOON AVE 2,Malaiarasi Srinivasan
Q Way Technologies,SUMANG LANE,C. H. Malan
Excel It Service,SUMANG LANE,Malarvele Ilangovan
Gaja Engineering,SUMANG LANE,Malarvil̲i Iḷaṅkōvan̲
VAYA Finserv,ANG MO KIO AVE 3,Malek Awab
Eye-Q Super Speciality E...,BAIN ST,Adam Malik
BDO India LLP,BISHAN ST 22,Malik Mazlan
Enercon,BT BATOK EAST AVE 5,Maliki Osman
Neilsoft,CHOA CHU KANG CTRL,Bashir Ahmad Mallal
Akamai Technologies,COMPASSVALE WALK,N. A. Mallal
IVY Comptech,HOUGANG ST 21,Geoffrey T. Malone
Applied Materials,JURONG EAST ST 21,Manaf Hamzah
ICAI,LOR 8 TOA PAYOH,Takanobu Manaki
Sqs Bfsi,PASIR RIS DR 4,Neil Manalo
Test Yantra Software Sol...,PENDING RD,Ezekiel Saleh Manasseh
Syntel International,SERANGOON AVE 3,Mangal Chotta Singh
Development Consultants,SIMEI ST 4,Aaron Maniam
SECON Private Limited Ba...,SUMANG LANE,
TATWA Technologies,TAMPINES ST 21,Manisha Dhalani
Pacific India,UPP ALJUNIED RD,George John Mansfield
Fortune Marketing,YISHUN ST 21,Ferdinand Marcos
Mutual Industries,COMPASSVALE WALK,Mardan Mamat
Terex,LOR 8 TOA PAYOH,Maria Mahat
MyCar,PASIR RIS DR 4,Mariam bte Baharom
Manipal University,SUMANG LANE,Mariam Jaafar
Gufic Biosciences,UPP ALJUNIED RD,Roberto Mariano
State Street Global Advi...,SUMANG LANE,Emile Joseph Mariette
Sarvodaya Hospital And R...,UPP ALJUNIED RD,Marimuthu Arumugam Elango
Indwell,SUMANG LANE,Mat Noh
NBCC,UPP ALJUNIED RD,Haji Marlian Athar
Mylan Pharmaceuticals,ANG MO KIO AVE 3,David Marshall
Essae Digitronics,BISHAN ST 22,Jean Marshall
SKS Ispat & Power,BT BATOK EAST AVE 5,Jonathan Mark Marshall
WEG,BT PANJANG RING RD,John Martens
Aster Dm Healthcare,CHOA CHU KANG CTRL,Melanie Martens
Prothious Engineering Se...,COMPASSVALE WALK,Michelle Martin
XL Catlin,HOUGANG AVE 1,Vernon Philip Martinus
Sutures India,JURONG EAST ST 21,Marziah binte Haji Omar
IKF Finance,LOR 8 TOA PAYOH,Mas Selamat bin Kastari
HLE Engineers,PASIR RIS DR 4,Mas
Greentech Industries,SERANGOON AVE 3,Masagos Zulkifli
Guardian India Operation...,SIMEI ST 4,Mashizan Masjum
The Hershey Company,SUMANG LANE,Mashor Arshad
Groz Engineering Tools,TAMPINES ST 21,Masnawi
Maharaja Agrasen Hospita...,YISHUN ST 21,Masnoor Ramli Mahmud
Sterling,BT PANJANG RING RD,Gilles Massot
Y-Axis Overseas Careers,SUMANG LANE,Mastura Abdul Rahman
Teleindia Networks,SERANGOON AVE 2,Masturah Sha'ari
TCPL Packaging,SUMANG LANE,Masuri S. N.
Geno Pharmaceuticals,ANG MO KIO AVE 3,Maswari bin Marowan
HDFC Credila Financial S...,BISHAN ST 22,Mat Sentol
Gujarat Co Operative Mil...,BT PANJANG RING RD,Cornelis Matelief de Jonge
Central Tool Room & Trai...,BT BATOK EAST AVE 5,Kevin Mathews
Makino Auto Industries,CHOA CHU KANG CTRL,Mathew Mathews
Gautam Solar,COMPASSVALE WALK,Mathikumar Thayumanavan
iMerit,HOUGANG ST 21,Alex Matter
Shaze Luxury Retail,JURONG EAST ST 21,Mawan Wajid Khan
MUNDRA SOLAR TECHNOPARK,LOR 8 TOA PAYOH,Sir Peter Maxwell
RevoKarmaHub Software An...,PASIR RIS ST 21,Sir William Maxwell
PayPal,SERANGOON AVE 3,Corrinne May
UnitedHealthcare,SIMEI ST 4,Mazlan Hamzah
Innominds Software,TAMPINES ST 21,Henry Edward McCallum
Gitanjali Gems,YISHUN ST 21,Audrey Holmes McCormick
Hpcl,PASIR RIS ST 21,Captain Leonard McCully
Shriram EPC,TENGAH GDN WALK,Sylvia Anne McCully
British Airways,TENGAH GDN WALK,"McGhee, John"
Aneja Associates,BISHAN ST 22,Ronald Cecil Hamlyn McKie
AT&S,BT BATOK EAST AVE 5,John Frederick Adolphus McNair
Jasper Industries,BT PANJANG RING RD,Brother Joseph McNally
Hindware,CHOA CHU KANG CTRL,Brother Anthony McNamara
Festo,COMPASSVALE WALK,Sir Percy McNeice
Enzen Global Solutions,HOUGANG AVE 1,Yuen-Peng McNeice
Mafatlal Industries,JURONG EAST ST 21,Denis Lesley McSwiney
Aegis Logistics,LOR 1 TOA PAYOH,Md Mukul Hossine
Magma Housing Finance,PASIR RIS ST 21,P. H. Meadows
Kapil Chit Funds,SERANGOON AVE 3,Jamshid Medora
National Steel & Agro In...,TAMPINES ST 21,Manee Meemak
Bry-Air (Asia),YISHUN RING RD,Namita Moolani Mehra
KEM Hospital,COMPASSVALE WALK,Nisha Mehraj
Oriental Aromatics,SERANGOON AVE 2,Kalyani K. Mehta
The Fern Residency,TENGAH GDN WALK,Meihua
YFC PROJECTS,TENGAH GDN WALK,Philippe Meissonnier
Sadhu Forging,BISHAN ST 22,Kirtida Mekani
The Mission Hospital,BOON LAY DR,Melati Suryodarmo
Costa Coffee,BT PANJANG RING RD,Juanita Melson
Gujarat Alkalies & Chemi...,BT BATOK EAST AVE 5,Kristal Melson
Weatherford,CHOA CHU KANG CTRL,B. H. Melwani
Jaipur Rugs,COMPASSVALE WALK,Maria Menado
Raksha TPA,HOUGANG ST 21,Joachim Alexandre Marie Meneuvrier
Nexteer Automotive,JURONG EAST ST 21,Alath Puthenvittil Gopinath Menon
The Indian Hume Pipe Co.,LOR 1 TOA PAYOH,M R Menon
Harita Fehrer,PASIR RIS ST 21,Ramachandran Menon (Colonel) (Retired)
Matix Fertilisers & Chem...,SERANGOON AVE 3,T. P. B. Menon
Beri Udyog,TAMPINES ST 21,Heather Siddons-Merican
Amrutanjan Health Care,YISHUN RING RD,Osman Merican
Cape East,BISHAN ST 22,Clement Mesenas
AYTB,BOON LAY DR,Mrs Helen Metes
International Automotive...,TENGAH GDN WALK,Jon Metes
Formel D,BOON LAY DR,Chas W. Meyer
Entab Infotech,TENGAH GDN WALK,Sir Manasseh Meyer
Maharashtra Natural GAS,BISHAN ST 22,Miao Mang
Adani Green Energy,BOON LAY DR,Miao Xiu
IKEA,BT PANJANG RING RD,Michaela Therese
World Health Organizatio...,BT BATOK EAST AVE 5,Richard Middleton-Smith
National Sample Survey O...,CHOA CHU KANG CTRL,Mike Ibrahim
Krsnaa Diagnostics,COMPASSVALE WALK,John N. Miksic
Delhi Police,HOUGANG AVE 1,Major Anthony Miller
Lyrus Life Science,JURONG EAST ST 21,Steven Miller
Unimark Remedies,LOR 1 TOA PAYOH,J. V. G. Mills
Source One Management Se...,PASIR RIS ST 21,Ronald Milne
Southern Petrochemical I...,SERANGOON AVE 2,Ronald Benjamin Milne
NetAmbit Infosource & e-...,TAMPINES ST 21,Min Xun
International Travel Hou...,TENGAH GDN WALK,Mintio
Panoramic Group of Compa...,YISHUN RING RD,"Gilbert Elliot, Earl of Minto"
Ninestars Information Te...,BOON LAY DR,Mervin Mirapuri
ICRA,SERANGOON AVE 2,Ashok Kumar Mirpuri
WOODLAND,TENGAH GDN WALK,Mish'aal Syed Nasar
Sterling Biotech,BOON LAY DR,Misri Hj. Watiman
ICICI Direct,TENGAH GDN WALK,Miss Fadillah
Tecumseh Products,BISHAN ST 22,Miss Julia
S.S. Kothari Mehta & Co,BOON LAY DR,Miss Reha
Onkar Infotech,BT BATOK EAST AVE 5,Miss Roekiah
Jumbo Electronics,BT PANJANG RING RD,Miss Tijah
Envestnet Asset Manageme...,CHOA CHU KANG CTRL,Navroji R. Mistri
Desein,COMPASSVALE WALK,Mit Jai Inn
The Indure,HOUGANG ST 22,Charles Mitchell
Encube Ethicals,JURONG EAST ST 21,John Mitchell
Kisan Mouldings,LOR 1 TOA PAYOH,Kenneth Mitchell
Matrix ComSec,PASIR RIS ST 21,Mo He
NXP Semiconductors,SERANGOON AVE 2,But Mochtar
TC Global,TAMPINES ST 21,Moe Satt
Maral Overseas,YISHUN RING RD,Desmond Moey
Danske It,BOON LAY DR,Nicky Moey
ISRO Satellite Center,PASIR RIS ST 21,Moh Lee Fair
Borosil Glass Works,BOON LAY DR,Moh Lee Twee
KGK Group,BALAM RD,Mohamad Hasbi Hassan
Uttam Value Steels,BENDEMEER RD,Mohamad Maidin bin Packer Mohd
Dubai Electricity & Wate...,BEO CRES,Mohamad Sabir
Cotiviti,CHAI CHEE RD,Mohamed Abdul Jaleel
FOCUS EDUMATICS,EUNOS CRES,Mohamed Abdullah Alhabshee
Olympus,GHIM MOH LINK,Mohamed Ali Abdul Razak
Volvo Trucks,HOUGANG AVE 3,Mohamed Ariff bin Suradi
Mitsubishi Elevators,MARSILING DR,Mohamed Effendy Abdul Hamid
Mahyco,NEW UPP CHANGI RD,Mohamed Eunos Abdullah
TRL Krosaki Refractories,SIN MING RD,Mohamed Fatris Bakaram
Quest Diagnostics,ST. GEORGE'S LANE,Mohamed Hasbi Hassan
ArcelorMittal,TEBAN GDNS RD,Mohamed Imran Mohamed Taib
Meneta Automotive Compon...,TELOK BLANGAH CRES,Jufrie Mahmood
Nippon Toyota,TIONG BAHRU RD,Haji Mohamed Khan
